날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2019-06-01,,3M MRO 실리콘 루브리컨트 @ 255G,0,0,0,0,????
2019-06-01,,3M MRO 방청유 PL-5 @ 360ML,0,0,0,0,????
2019-06-01,,3M MRO 크리너(프 MS061Z) @ 420ML,0,0,0,0,????
2019-06-01,,3M MRO 기계세정제 @ 420ML,0,0,0,0,????
2019-06-01,,3M MRO 레몬세정제 @ 420ML,0,0,0,0,????
2019-06-01,,3M MRO 방청유 K-70 @ 230G,0,0,0,0,????
2019-06-01,,3M MRO 접착제거제 @ 200ML,0,0,0,0,????
2019-06-01,,"3M DISC CNS XT(PRO) @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 플랩 769F #40 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 플랩 769F #60 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 플랩 769F #80 @ 4""",0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200 @ S,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200 @ M,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200-WT @ L,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200-WT @ M,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립200-WT @ S,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 오리지날1 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 오리지날1 @ M,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 오리지날1 @ XL,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 리얼터치2 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 리얼터치2 @ M,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 혹한기3 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 혹한기3 @ M,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 혹한기4 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 컴포트-WT 혹한기4 @ M,0,0,0,0,????
2019-06-01,,"TU 절단석 AZ 6503 @ 5""*1.3T",0,0,0,0,????
2019-06-01,,"TU 절단석 AZ 6503 @ 4""",0,0,0,0,????
2019-06-01,,"TU 절단석 S 105502 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"TU 절단석 S 103402 @ 4""*9.8MM",0,0,0,0,????
2019-06-01,,"생고뱅 절단석 노존플러스 @ 5""*1.2T",0,0,0,0,????
2019-06-01,,"생고뱅 절단석 노존플러스 @ 4""*1.2T",0,0,0,0,????
2019-06-01,,"3M DISC 베벨 BR #180 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 베벨 RD #320 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 베벨 GR #400 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 베벨 BL #120 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 양모 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC 패드 982C @ 4""",0,0,0,0,????
2019-06-01,,3M 그라인더 4CG,0,0,0,0,????
2019-06-01,,3M 그라인더 7CG,0,0,0,0,????
2019-06-01,,3M MRO 스프레이 #77 @ 455ML,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립 핫 @ L,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립 핫 @ M,0,0,0,0,????
2019-06-01,,3M 장갑 수퍼그립 핫 @ S,0,0,0,0,????
2019-06-01,,TWO COMP 472 줄자 @ 5M*19MM,0,0,0,0,????
