업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
용평철물건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 용평면 평창대로 1953,,G21001 / 용평면,미방문,
은성공업사,강원특별자치도 속초시,공구점,,강원특별자치도 속초시 소평로 64,,S20301 / 조양동,미방문,
토성신화공업사,강원특별자치도 고성군,공구점,,강원특별자치도 고성군 토성면 잼버리동로 594-11,,S20301 / 토성면,미방문,
강원건재,강원특별자치도 화천군,건자재점,,강원특별자치도 화천군 사내면 포화로 1141,,G21001 / 사내면,미방문,
중앙공업사,강원특별자치도 태백시,공구점,,강원특별자치도 태백시 문화로 57,,S20301 / 황지동,미방문,
문막철물건재,강원특별자치도 원주시,건자재점,,강원특별자치도 원주시 문막읍 왕건로 132,,G21202 / 문막읍,미방문,
제일종합철물,강원특별자치도 화천군,철물점,,강원특별자치도 화천군 화천읍 상승로 49-10,,G21001 / 화천읍,미방문,
한성공업사,강원특별자치도 강릉시,공구점,,강원특별자치도 강릉시 강변로 462,,S20301 / 성덕동,미방문,
진부철물건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 진부면 진부중앙로 130,,G21001 / 진부면,미방문,
화영공업사,강원특별자치도 태백시,공구점,,강원특별자치도 태백시 태백로 2154,,S20301 / 구문소동,미방문,
태양수도철물,강원특별자치도 횡성군,철물점,,강원특별자치도 횡성군 둔내면 경강로둔방6길 11,,G21001 / 둔내면,미방문,
칠육철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 황지로 226,,G21001 / 황연동,미방문,
단계철물공구,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 원문로 116,,G21001 / 단계동,미방문,
광명정비공업사,강원특별자치도 횡성군,공구점,,강원특별자치도 횡성군 횡성읍 한우로 750,,S20301 / 횡성읍,미방문,
대성철물건재,강원특별자치도 동해시,건자재점,,강원특별자치도 동해시 청운1길 57,,G21001 / 북삼동,미방문,
한성전기철물,강원특별자치도 속초시,철물점,,강원특별자치도 속초시 조양로118번길 19,,G21001 / 조양동,미방문,
형제종합건재,강원특별자치도 화천군,건자재점,,강원특별자치도 화천군 화천읍 중앙로4길 43-9,,G21003 / 화천읍,미방문,
한샘철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 범일로 688-1,,G21001 / 내곡동,미방문,
내면공업사,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 내면 구룡령로 5089,,S20301 / 내면,미방문,
한성철물상사,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 옥계면 현내시장길 32,,G21001 / 옥계면,미방문,
학담철물건재,강원특별자치도 횡성군,건자재점,,강원특별자치도 횡성군 공근면 학담시장길 10,,G21001 / 공근면,미방문,
미래조명건재상사,강원특별자치도 삼척시,건자재점,,강원특별자치도 삼척시 중앙로 220,,G21201 / 남양동,미방문,
원주철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 치악로 1566,,G21001 / 단구동,미방문,
대양공구철물,강원특별자치도 동해시,철물점,,강원특별자치도 동해시 대동로 138,,G21001 / 북평동,미방문,
임계철물마트,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 임계면 서동로 4558,,G21001 / 임계면,미방문,
대신철물건재,강원특별자치도 철원군,건자재점,,강원특별자치도 철원군 동송읍 금학로 97,,G21001 / 동송읍,미방문,
남면종합철물,강원특별자치도 영월군,철물점,,강원특별자치도 영월군 남면 조양마을길 6-11,,G21001 / 남면,미방문,
치악철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 상지대길 20-2,,G21001 / 우산동,미방문,
대중철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 옥천로19번길 34,,G21001 / 옥천동,미방문,
대형카공업사,강원특별자치도 속초시,공구점,,강원특별자치도 속초시 싸리재길 247-66,,S20301 / 노학동,미방문,
홍남철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 우산로 22,,G21001 / 우산동,미방문,
매직카정비공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 영랑길 140,,S20301 / 행구동,미방문,
신광철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 임계면 백두대간로 1361,,G21001 / 임계면,미방문,
오성공업사,강원특별자치도 태백시,공구점,,강원특별자치도 태백시 버들치길 25,,S20301 / 문곡소도동,미방문,
강일철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 율곡로 2938-1,,G21001 / 교2동,미방문,
승용철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 경강로 2243-1,,G21001 / 포남1동,미방문,
현북철물,강원특별자치도 양양군,철물점,,강원특별자치도 양양군 현북면 하조대1길 78,,G21001 / 현북면,미방문,
한양건재시스템,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 용평면 경강로 1629,,G21001 / 용평면,미방문,
순흥철물,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 남면 양덕원로 94,,G21001 / 남면,미방문,
씽씽카공업사,강원특별자치도 철원군,공구점,,강원특별자치도 철원군 김화읍 김화로 351,,S20301 / 김화읍,미방문,
강원철물,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 남면 양덕원로 79,,G21001 / 남면,미방문,
평창종합건축자재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 평창읍 서동로 1984-3,,G21099 / 평창읍,미방문,
토토철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 금불3길 5,,R10410 / 단계동,미방문,
건남철물낚시,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 옥계면 금진항길 4-1,,G21001 / 옥계면,미방문,
서광종합건재,강원특별자치도 화천군,건자재점,,강원특별자치도 화천군 상서면 수피령로 1284,,G21001 / 상서면,미방문,
합자회사양구공업사,강원특별자치도 양구군,공구점,,강원특별자치도 양구군 양구읍 중심로 9,,S20301 / 양구읍,미방문,
새마을공업사,강원특별자치도 강릉시,공구점,,강원특별자치도 강릉시 옥계면 현내시장길 49,,G21305 / 옥계면,미방문,
